,,,,,,00126        Tarragona (Marques),,,,,,,,,,,,20/11/2025,,,
infcontrolalmacen,,,,,,,,,,,,,,,,,,,,,
,,,,,,Informe Control de Almacén,,,,,,,,,,,Pág. 1  de 8,,,,
Ordenado por Artículo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Criterios:   , Fechas Cuadre:  Mes Panel de Control.",,,,,,,,,,,,,,,,Moneda de Uso: EUROS,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cuadre Inicial,,,Inventario total,,,,01/11/2025  12:18:43 ,,,,Cuadre Final,,,Cuadre completo,,,,19/11/2025  01:09:57 ,,,
Empleado,,"AGUILO MORESO, JUDITH",,,,,,,,,Empleado,,"GALLEGO CHICA, MARIA DEL CARMEN",,,,,,,,
Fecha de grabación,,,01/11/2025  12:18:50 ,,,,,,,,Fecha de grabación,,,19/11/2025  01:10:36 ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Artículo,,,,,,,,Inicial,Entradas,Salida,,Consumo,,Teórica,Desperdicio,Sobra - Falta,,Robo,%,Consumo,Real
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CCARM,,* CEBOLLA CARAMELIZADA MORENO,,,,,Kilogramo,,"9,578","6,000",,"5,396","10,182",,"-1,500",,"-27,80","8,682",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CCHME,,* ME CAJA COMBO HAMBURGUESA MENE,,,,,Unidad,,"168,000",,,"19,000","149,000",,"0,000",,,"149,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CCPOPS,,* POPS POLLO,,,,,Kilogramo,,"1,690","24,000","2,000","11,317","12,373",,"-0,316",,"-2,79","12,057",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CCRT,,* ME CRUNCHY CEBOLLA CRISPY TARR,,,,,Kilogramo,,"1,162",,,"0,302","0,860",,"0,000",,,"0,860",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CEN,,* CEBOLLA CONGELADA,,,,,Kilogramo,,"1,770","24,000",,"23,790","1,980",,"2,723",,"11,45","4,703",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CETQPZ,,* CELIACOS ETIQUETA PIZZAS,,,,,Unidad,,"33,000",,,"24,000","9,000",,"0,000",,,"9,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CF,,* CAJA FAMILIAR,,,,,Unidad,,"709,000","450,000",,"667,000","492,000",,"63,000",,"9,45","555,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CH,,* CHAMPI?ON,,,,,Kilogramo,,"47,864","24,000",,"62,082","9,782",,"10,000",,"16,11","19,782",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CHB4,,* TARRINA CHOCOLATE BELGA 460 ML,,,,,Unidad,,"25,000","16,000",,"15,000","26,000",,"1,000","-5,000",,"-40,00","20,000",,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CHB9,,* TARRINA CHOCOLATE BELGA 95 ML,,,,,Unidad,,"73,000",,,"4,000","69,000",,"-28,000",,"-100,00","41,000",,,
,,,,,,,,,,,,,,,,,,,,,
CHMI,,* ME CAJA HEXAGONAL MINI,,,,,Unidad,,"128,000",,,"58,000","70,000",,"49,000",,"84,48","119,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CHMX,,* ME CAJA HEXAGONAL MAXI,,,,,Unidad,,"187,000",,,"62,000","125,000",,"-11,000",,"-17,74","114,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CHORI,,* CHORIZO,,,,,Kilogramo,,"7,020","3,240",,"1,845","8,415",,"0,000",,,"8,415",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CHUN,,* ME CHUNKS DE POLLO 6X1KG,,,,,Kilogramo,,"5,854","12,000",,"5,170","12,684",,"0,000",,,"12,684",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CM,,* CAJA MEDIANA SIN ESQUINAS,,,,,Unidad,,"627,000","2.700,000",,"2.562,000","765,000",,"-148,000",,"-5,78","617,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CMI2,,* CAJA MENU INFANTIL 2020,,,,,Unidad,,"80,000","100,000",,,"180,000",,"-31,000",,,"149,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CMIC,,* CAJA PIZZA INFANTIL,,,,,Unidad,,"318,000",,,"10,000","308,000",,"-135,000",,"-100,00","173,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CNES,,* CAPSULAS NESPRESSO 50 UDS,,,,,Unidad,,"49,000",,,"48,000","1,000",,"0,000",,,"1,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CNO,,* YY CERDO NUEVA ORLEANS,,,,,Kilogramo,,"1,000",,,,"1,000",,"0,000",,,"1,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
COC4,,* TARRINA COOKIES&CREAM 460 ML,,,,,Unidad,,"5,000","16,000",,"9,000","12,000",,"7,000",,"77,78","19,000",,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
COC9,,* TARRINA COOKIE&CREAM 95 ML,,,,,Unidad,,"51,000",,,"13,000","38,000",,"-8,000",,"-61,54","30,000",,,
,,,,,,,,,,,,,,,,,,,,,
